等級,本級累積信用經驗,升至下一級所需經驗
119,50362407,1688196
120,52050603,1730668
121,53781271,1773853
122,55555124,1817757
123,57372881,1862387
124,59235268,1907747
125,61143015,1953845
126,63096860,2000685
127,65097545,2048275
128,67145820,2096620
129,69242440,2145725
130,71388165,2195598
131,73583763,2246243
132,75830006,2297668
133,78127674,2349878
134,80477552,2402878
135,82880430,2456676
136,85337106,2511276
137,87848382,2566685
138,90415067,2622910
139,93037977,2679955
140,95717932,2737827
141,98455759,2796532
142,101252291,2856076
143,104108367,2916465
144,107024832,2977705
145,110002537,3039802
146,113042339,3102761
147,116145100,3166590
148,119311690,3231293
149,122542983,3296877
150,125839860,3363348
151,129203208,3430712
152,132633920,3498975
153,136132895,3568142
154,139701037,3638220
155,143339257,3709216
156,147048473,3781133
157,150829606,3853980
158,154683586,3927762
159,158611348,4002484
160,162613832,4078153
161,166691985,4154775
162,170846760,4232355
163,175079115,4310901
164,179390016,4390417
165,183780433,4470909
166,188251342,4552385
167,192803727,4634849
168,197438576,4718308
169,202156884,4802767
170,206959651,4888234
171,211847885,4974713
172,216822598,5062210
173,221884808,5150733
174,227035541,5240285
175,232275826,5330875
176,237606701,5422507
177,243029208,5515188
178,248544396,5608924
179,254153320,5703720
180,259857040,5799583
181,265656623,5896518
182,271553141,5994532
183,277547673,6093630
184,283641303,6193819
185,289835122,6295105
186,296130227,6397493
187,302527720,6500990
188,309028710,6605602
189,315634312,6711333
190,322345645,6818192
191,329163837,6926183
192,336090020,7035312
193,343125332,7145586
194,350270918,7257011
195,357527929,7369592
196,364897521,7483335
197,372380856,7598247
198,379979103,7714334
199,387693437,7831600
200,395525037,7950054
201,403475091,8069700
202,411544791,8190544
203,419735335,8312592
204,428047927,8435851
205,436483778,8560327
206,445044105,8686025
207,453730130,8812951
208,462543081,8941112
209,471484193,9070513
210,480554706,9201160
211,489755866,9333060
212,499088926,9466218
213,508555144,9600641
214,518155785,9736334
215,527892119,9873303
216,537765422,10011555
217,547776977,10151094
218,557928071,10291929
219,568220000,10434063
220,578654063,10577504
221,589231567,10722257
222,599953824,10868328
223,610822152,11015724
224,621837876,11164450
225,633002326,11314512
226,644316838,11465917
227,655782755,11618669
228,667401424,11772776
229,679174200,11928243
230,691102443,12085077
231,703187520,12243282
232,715430802,12402866
233,727833668,12563834
234,740397502,12726192
235,753123694,12889947
236,766013641,13055103
237,779068744,13221668
238,792290412,13389647
239,805680059,13559046
240,819239105,13729871
241,832968976,13902128
242,846871104,14075824
243,860946928,14250963
244,875197891,14427553
245,889625444,14605599
246,904231043,14785107
247,919016150,14966082
248,933982232,15148533
249,949130765,15332463
250,964463228,15517879
251,979981107,15704787
252,995685894,15893193
253,1011579087,16083104
254,1027662191,16274524
255,1043936715,16467460
256,1060404175,16661919
257,1077066094,16857905
258,1093923999,17055426
259,1110979425,17254486
260,1128233911,17455092
261,1145689003,17657251
262,1163346254,17860967
263,1181207221,18066247
264,1199273468,18273098
265,1217546566,18481524
266,1236028090,18691532
267,1254719622,18903128
268,1273622750,19116318
269,1292739068,19331108
270,1312070176,19547504
271,1331617680,19765512
272,1351383192,19985137
273,1371368329,20206387
274,1391574716,20429266
275,1412003982,20653781
276,1432657763,20879939
277,1453537702,21107744
278,1474645446,21337202
279,1495982648,21568321
280,1517550969,21801106
281,1539352075,22035562
282,1561387637,22271696
283,1583659333,22509514
284,1606168847,22749022
285,1628917869,22990225
286,1651908094,23233131
287,1675141225,23477744
288,1698618969,23724071
289,1722343040,23972117
290,1746315157,24221890
291,1770537047,24473394
292,1795010441,24726636
293,1819737077,24981621
294,1844718698,25238357
295,1869957055,25496848
296,1895453903,25757100
297,1921211003,26019121
298,1947230124,26282915
299,1973513039,26486961
300,2000000000,0
